,key,computational accuracy
38,WRITE_YOU_OWN_POWER_WITHOUT_USING_MULTIPLICATION_AND_DIVISION,1.0
39,FIND_PAIRS_GIVEN_SUM_ELEMENTS_PAIR_DIFFERENT_ROWS,0.0
40,FRIENDS_PAIRING_PROBLEM,1.0
41,DISTRIBUTING_ITEMS_PERSON_CANNOT_TAKE_TWO_ITEMS_TYPE,1.0
42,COUNT_POSSIBLE_GROUPS_SIZE_2_3_SUM_MULTIPLE_3,1.0
43,SHUFFLE_A_GIVEN_ARRAY,0.0
44,MAXIMUM_HEIGHT_OF_TRIANGULAR_ARRANGEMENT_OF_ARRAY_VALUES_1,1.0
45,LONGEST_COMMON_SUBSEQUENCE_WITH_AT_MOST_K_CHANGES_ALLOWED,1.0
46,MAXIMUM_NUMBER_2X2_SQUARES_CAN_FIT_INSIDE_RIGHT_ISOSCELES_TRIANGLE,1.0
47,CONVERTING_ONE_STRING_USING_APPEND_DELETE_LAST_OPERATIONS,1.0
48,GNOME_SORT_A_STUPID_ONE,0.0
49,FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT,1.0
50,CHECK_GIVEN_MATRIX_SPARSE_NOT,1.0
51,NTH_PENTAGONAL_NUMBER,1.0
52,COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW_1,0.1
53,FREQUENT_ELEMENT_ARRAY,1.0
54,ARRAY_ELEMENT_MOVED_K_USING_SINGLE_MOVES,1.0
55,NUMBER_NON_NEGATIVE_INTEGRAL_SOLUTIONS_B_C_N,0.0
56,NUMBER_DIGITS_PRODUCT_TWO_NUMBERS,0.0
57,FIND_SUM_MODULO_K_FIRST_N_NATURAL_NUMBER_1,0.7
58,MEDIAN_OF_TWO_SORTED_ARRAYS,0.2
59,COUNT_PAIRS_DIFFERENCE_EQUAL_K_1,1.0
60,FAST_MULTIPLICATION_METHOD_WITHOUT_USING_MULTIPLICATION_OPERATOR_RUSSIAN_PEASANTS_ALGORITHM,1.0
61,PROGRAM_PRINT_IDENTITY_MATRIX_1,1.0
62,MINIMUM_PERIMETER_N_BLOCKS,0.0
63,PYTHON_PROGRAM_FIND_PERIMETER_CIRCUMFERENCE_SQUARE_RECTANGLE,1.0
64,SQUARE_ROOT_OF_A_PERFECT_SQUARE,1.0
65,MINIMUM_ROTATIONS_REQUIRED_GET_STRING,1.0
66,ANALYSIS_OF_ALGORITHMS_SET_2_ASYMPTOTIC_ANALYSIS,1.0
67,MAXIMUM_XOR_VALUE_MATRIX,1.0
68,COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY,1.0
69,PADOVAN_SEQUENCE,0.1
70,PROGRAM_FIND_SLOPE_LINE,1.0
71,SUM_K_TH_GROUP_ODD_POSITIVE_NUMBERS_1,1.0
72,UGLY_NUMBERS,1.0
73,SUM_NODES_K_TH_LEVEL_TREE_REPRESENTED_STRING,0.5
74,CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER_1,0.3
75,HIGHWAY_BILLBOARD_PROBLEM,1.0
76,TRIANGULAR_NUMBERS_1,0.5
77,FIND_THE_FIRST_MISSING_NUMBER,1.0
78,TRIANGULAR_MATCHSTICK_NUMBER,1.0
79,ELEMENTS_TO_BE_ADDED_SO_THAT_ALL_ELEMENTS_OF_A_RANGE_ARE_PRESENT_IN_ARRAY,1.0
80,FIND_UNIT_DIGIT_X_RAISED_POWER_Y,1.0
81,FIND_THREE_ELEMENT_FROM_DIFFERENT_THREE_ARRAYS_SUCH_THAT_THAT_A_B_C_K,1.0
82,FINDING_POWER_PRIME_NUMBER_P_N,0.2
83,ROW_WISE_COMMON_ELEMENTS_TWO_DIAGONALS_SQUARE_MATRIX,1.0
84,PROGRAM_FOR_DEADLOCK_FREE_CONDITION_IN_OPERATING_SYSTEM,1.0
85,PROGRAM_CHECK_ARRAY_SORTED_NOT_ITERATIVE_RECURSIVE_1,1.0
86,FIND_TRIPLETS_ARRAY_WHOSE_SUM_EQUAL_ZERO,1.0
87,POSSIBLE_TO_MAKE_A_DIVISIBLE_BY_3_NUMBER_USING_ALL_DIGITS_IN_AN_ARRAY,1.0
88,NTH_EVEN_LENGTH_PALINDROME,1.0
89,HORNERS_METHOD_POLYNOMIAL_EVALUATION,1.0
90,SUM_OF_ALL_ELEMENTS_UP_TO_NTH_ROW_IN_A_PASCALS_TRIANGLE,1.0
91,FIND_THE_ELEMENT_THAT_APPEARS_ONCE,0.0
92,FIND_REPEATED_CHARACTER_PRESENT_FIRST_STRING,1.0
93,NUMBER_NON_NEGATIVE_INTEGRAL_SOLUTIONS_B_C_N_1,1.0
94,STRING_CONTAINING_FIRST_LETTER_EVERY_WORD_GIVEN_STRING_SPACES,0.0
95,SWAP_TWO_NUMBERS_WITHOUT_USING_TEMPORARY_VARIABLE,1.0
96,MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES_1,0.7
97,SUM_LARGEST_PRIME_FACTOR_NUMBER_LESS_EQUAL_N,1.0
98,COUNT_NEGATIVE_NUMBERS_IN_A_COLUMN_WISE_ROW_WISE_SORTED_MATRIX,1.0
99,SUM_MATRIX_ELEMENT_ELEMENT_INTEGER_DIVISION_ROW_COLUMN,0.0
100,TOTAL_NUMBER_OF_NON_DECREASING_NUMBERS_WITH_N_DIGITS_1,1.0
101,HOW_TO_TURN_OFF_A_PARTICULAR_BIT_IN_A_NUMBER,1.0
102,POSITION_OF_RIGHTMOST_SET_BIT,1.0
103,FIND_NUMBER_TRANSFORMATION_MAKE_TWO_MATRIX_EQUAL,1.0
104,MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS,1.0
105,CHECK_ARRAY_REPRESENTS_INORDER_BINARY_SEARCH_TREE_NOT,1.0
106,CHECK_WHETHER_GIVEN_NUMBER_EVEN_ODD,1.0
107,PROGRAM_BINARY_DECIMAL_CONVERSION,0.0
108,MAXIMUM_SUBARRAY_SUM_ARRAY_CREATED_REPEATED_CONCATENATION,0.0
109,K_SMALLEST_ELEMENTS_ORDER_USING_O1_EXTRA_SPACE,1.0
110,MINIMUM_SUM_SUBSEQUENCE_LEAST_ONE_EVERY_FOUR_CONSECUTIVE_ELEMENTS_PICKED,1.0
111,DETECT_IF_TWO_INTEGERS_HAVE_OPPOSITE_SIGNS,1.0
112,CHECK_GIVEN_SENTENCE_GIVEN_SET_SIMPLE_GRAMMER_RULES,0.6
113,DECIMAL_BINARY_CONVERSION_WITHOUT_USING_ARITHMETIC_OPERATORS,0.0
114,MAXIMUM_TRIPLET_SUM_ARRAY_2,0.0
115,GCD_ELEMENTS_GIVEN_RANGE,0.0
116,HOW_CAN_WE_SUM_THE_DIGITS_OF_A_GIVEN_NUMBER_IN_SINGLE_STATEMENT,0.0
117,LONGEST_COMMON_INCREASING_SUBSEQUENCE_LCS_LIS,0.6
118,QUERIES_COUNTS_ARRAY_ELEMENTS_VALUES_GIVEN_RANGE,1.0
119,PROGRAM_TO_CHECK_IF_A_MATRIX_IS_SYMMETRIC,1.0
120,MAXIMUM_SUM_PAIRS_SPECIFIC_DIFFERENCE,1.0
121,COUNT_NEGATIVE_NUMBERS_IN_A_COLUMN_WISE_ROW_WISE_SORTED_MATRIX_1,1.0
122,N_TH_NUMBER_WHOSE_SUM_OF_DIGITS_IS_TEN,0.0
123,DYNAMIC_PROGRAMMING_SET_12_LONGEST_PALINDROMIC_SUBSEQUENCE,1.0
124,MODULAR_EXPONENTIATION_POWER_IN_MODULAR_ARITHMETIC,1.0
125,CONSTRUCT_LEXICOGRAPHICALLY_SMALLEST_PALINDROME,0.0
126,NUMBER_OF_PAIRS_IN_AN_ARRAY_HAVING_SUM_EQUAL_TO_PRODUCT,1.0
127,CHECK_WHETHER_GIVEN_DEGREES_VERTICES_REPRESENT_GRAPH_TREE,0.7
128,SORT_AN_ARRAY_OF_0S_1S_AND_2S,0.2
129,FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH_1,1.0
130,PROGRAM_PRINT_SUM_GIVEN_NTH_TERM,1.0
131,MAXIMIZE_VOLUME_CUBOID_GIVEN_SUM_SIDES,1.0
132,NUMBER_OF_BINARY_TREES_FOR_GIVEN_PREORDER_SEQUENCE_LENGTH,0.0
133,SUM_MATRIX_ELEMENT_ELEMENT_INTEGER_DIVISION_ROW_COLUMN_1,0.0
134,POSSIBLE_FORM_TRIANGLE_ARRAY_VALUES,0.7
135,CHECK_STRING_CAN_OBTAINED_ROTATING_ANOTHER_STRING_2_PLACES,0.7
136,FRIENDS_PAIRING_PROBLEM_2,1.0
137,PROGRAM_BEST_FIT_ALGORITHM_MEMORY_MANAGEMENT,1.0
138,PROGRAM_FIND_STRING_START_END_GEEKS,1.0
139,NEXT_POWER_OF_2,1.0
140,EFFICIENT_WAY_CHECK_WHETHER_N_TH_FIBONACCI_NUMBER_MULTIPLE_10,1.0
141,MAXIMUM_TRIPLET_SUM_ARRAY_1,1.0
142,REARRANGE_POSITIVE_AND_NEGATIVE_NUMBERS_PUBLISH,1.0
143,WRITE_ONE_LINE_C_FUNCTION_TO_FIND_WHETHER_A_NO_IS_POWER_OF_TWO_1,1.0
144,MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING,1.0
145,NUMBER_DAYS_TANK_WILL_BECOME_EMPTY,1.0
146,NTH_NON_FIBONACCI_NUMBER,0.0
147,SUM_MIDDLE_ROW_COLUMN_MATRIX,1.0
148,FIND_WHETHER_AN_ARRAY_IS_SUBSET_OF_ANOTHER_ARRAY_SET_1,1.0
149,COUNT_NUMBER_PAIRS_N_B_N_GCD_B_B,0.0
150,NUMBER_DIGITS_PRODUCT_TWO_NUMBERS_1,1.0
151,COUNT_SET_BITS_IN_AN_INTEGER,1.0
152,C_PROGRAM_CONCATENATE_STRING_GIVEN_NUMBER_TIMES,1.0
153,COUNT_FIBONACCI_NUMBERS_GIVEN_RANGE_LOG_TIME,0.7
154,SEARCH_INSERT_AND_DELETE_IN_AN_UNSORTED_ARRAY,1.0
155,NUMBER_SUBSEQUENCES_AB_STRING_REPEATED_K_TIMES,0.3
156,SPLIT_ARRAY_ADD_FIRST_PART_END,1.0
157,COUNT_DERANGEMENTS_PERMUTATION_SUCH_THAT_NO_ELEMENT_APPEARS_IN_ITS_ORIGINAL_POSITION_1,1.0
158,LEXICOGRAPHICAL_MAXIMUM_SUBSTRING_STRING,0.1
159,PROGRAM_CHECK_INPUT_INTEGER_STRING,0.6
160,COUNT_INVERSIONS_OF_SIZE_THREE_IN_A_GIVE_ARRAY_1,1.0
161,SEGREGATE_EVEN_ODD_NUMBERS_SET_3,1.0
162,PROGRAM_OCTAL_DECIMAL_CONVERSION,0.0
163,CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT,1.0
164,FIND_WHETHER_GIVEN_INTEGER_POWER_3_NOT,1.0
165,CASSINIS_IDENTITY,0.0
166,FIND_SUBARRAY_WITH_GIVEN_SUM,1.0
167,COMPUTE_MODULUS_DIVISION_BY_A_POWER_OF_2_NUMBER,1.0
168,AREA_OF_A_HEXAGON,1.0
169,SUM_FIBONACCI_NUMBERS,0.0
170,EFFICIENT_WAY_TO_MULTIPLY_WITH_7,1.0
171,WAYS_REMOVE_ONE_ELEMENT_BINARY_STRING_XOR_BECOMES_ZERO,0.3
172,TILING_WITH_DOMINOES,0.0
173,SCHEDULE_JOBS_SERVER_GETS_EQUAL_LOAD,1.0
174,SUM_PAIRWISE_PRODUCTS_1,0.0
175,GIVEN_A_SORTED_AND_ROTATED_ARRAY_FIND_IF_THERE_IS_A_PAIR_WITH_A_GIVEN_SUM,1.0
176,CHECK_WHETHER_ARITHMETIC_PROGRESSION_CAN_FORMED_GIVEN_ARRAY,1.0
177,CHECK_WHETHER_TRIANGLE_VALID_NOT_SIDES_GIVEN,1.0
178,LEXICOGRAPHICALLY_NEXT_STRING,0.5
179,CHECK_OCCURRENCES_CHARACTER_APPEAR_TOGETHER,1.0
180,MINIMIZE_THE_SUM_OF_DIGITS_OF_A_AND_B_SUCH_THAT_A_B_N,0.0
181,NUMBER_INDEXES_EQUAL_ELEMENTS_GIVEN_RANGE,1.0
182,COUNT_POSSIBLE_DECODINGS_GIVEN_DIGIT_SEQUENCE_1,0.8
183,FIND_MIRROR_IMAGE_POINT_2_D_PLANE,1.0
184,FIND_MAXIMUM_PRODUCT_OF_A_TRIPLET_IN_ARRAY_1,1.0
185,ZECKENDORFS_THEOREM_NON_NEIGHBOURING_FIBONACCI_REPRESENTATION,0.0
186,K_NUMBERS_DIFFERENCE_MAXIMUM_MINIMUM_K_NUMBER_MINIMIZED,0.2
187,COMPUTE_N_UNDER_MODULO_P,1.0
188,LARGEST_SUBSEQUENCE_GCD_GREATER_1,0.6
189,COUNT_OF_PAIRS_SATISFYING_THE_GIVEN_CONDITION,1.0
190,COUNT_OPERATIONS_MAKE_STRINGAB_FREE,0.8
191,SORT_ARRAY_CONTAIN_1_N_VALUES,1.0
192,BINARY_REPRESENTATION_OF_NEXT_NUMBER,0.5
193,MINIMUM_OPERATIONS_MAKE_GCD_ARRAY_MULTIPLE_K,1.0
194,EFFICIENTLY_COMPUTE_SUMS_OF_DIAGONALS_OF_A_MATRIX,1.0
195,COUNT_EVEN_LENGTH_BINARY_SEQUENCES_WITH_SAME_SUM_OF_FIRST_AND_SECOND_HALF_BITS_1,0.5
196,FIND_MAXIMUM_HEIGHT_PYRAMID_FROM_THE_GIVEN_ARRAY_OF_OBJECTS,1.0
197,NUMBER_SUBSEQUENCES_FORM_AI_BJ_CK,0.6
198,EULERS_CRITERION_CHECK_IF_SQUARE_ROOT_UNDER_MODULO_P_EXISTS,1.0
199,FIND_INDEX_0_REPLACED_1_GET_LONGEST_CONTINUOUS_SEQUENCE_1S_BINARY_ARRAY,1.0
200,LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,0.8
201,FIRST_ELEMENT_OCCURRING_K_TIMES_ARRAY,1.0
202,PRIME_NUMBERS,1.0
203,MAXIMUM_SUM_IARRI_AMONG_ROTATIONS_GIVEN_ARRAY_1,1.0
204,AREA_SQUARE_CIRCUMSCRIBED_CIRCLE,1.0
205,MAXIMUM_PROFIT_BY_BUYING_AND_SELLING_A_SHARE_AT_MOST_TWICE,0.5
206,PRODUCT_NODES_K_TH_LEVEL_TREE_REPRESENTED_STRING,0.4
207,COUNT_MINIMUM_NUMBER_SUBSETS_SUBSEQUENCES_CONSECUTIVE_NUMBERS,1.0
208,BREAKING_NUMBER_FIRST_PART_INTEGRAL_DIVISION_SECOND_POWER_10,1.0
209,DECIMAL_REPRESENTATION_GIVEN_BINARY_STRING_DIVISIBLE_10_NOT,1.0
210,MAXIMUM_REMOVAL_FROM_ARRAY_WHEN_REMOVAL_TIME_WAITING_TIME,1.0
211,MAXIMUM_TRIPLET_SUM_ARRAY,1.0
212,LEXICOGRAPHICALLY_SMALLEST_ARRAY_K_CONSECUTIVE_SWAPS,0.6
213,COUNT_DISTINCT_NON_NEGATIVE_PAIRS_X_Y_SATISFY_INEQUALITY_XX_YY_N_2_1,0.0
214,CHECK_IF_A_NUMBER_IS_POWER_OF_ANOTHER_NUMBER,1.0
215,NUMBER_JUMP_REQUIRED_GIVEN_LENGTH_REACH_POINT_FORM_D_0_ORIGIN_2D_PLANE,0.6
216,PRINT_GIVEN_MATRIX_COUNTER_CLOCK_WISE_SPIRAL_FORM,1.0
217,HOW_TO_AVOID_OVERFLOW_IN_MODULAR_MULTIPLICATION,1.0
218,POSITION_ELEMENT_STABLE_SORT,1.0
219,COIN_GAME_WINNER_EVERY_PLAYER_THREE_CHOICES,1.0
220,MAXIMUM_PRODUCT_SUBARRAY_ADDED_NEGATIVE_PRODUCT_CASE,0.9
221,WRITE_A_C_PROGRAM_TO_FIND_THE_PARITY_OF_AN_UNSIGNED_INTEGER,0.5
222,MINIMUM_SUM_TWO_NUMBERS_FORMED_DIGITS_ARRAY,1.0
223,COUNT_PAIRS_TWO_SORTED_ARRAYS_WHOSE_SUM_EQUAL_GIVEN_VALUE_X_2,1.0
224,SUM_SERIES_0_6_0_06_0_006_0_0006_N_TERMS,0.7
225,INTEGER_POSITIVE_VALUE_POSITIVE_NEGATIVE_VALUE_ARRAY_1,1.0
226,PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR,0.1
227,FIND_FIRST_NATURAL_NUMBER_WHOSE_FACTORIAL_DIVISIBLE_X,1.0
228,COUNT_STRINGS_ADJACENT_CHARACTERS_DIFFERENCE_ONE,0.0
229,MINIMUM_HEIGHT_TRIANGLE_GIVEN_BASE_AREA,1.0
230,LEXICOGRAPHICALLY_MINIMUM_STRING_ROTATION,0.1
231,FIND_SUM_NODES_GIVEN_PERFECT_BINARY_TREE_1,1.0
232,SUM_SEQUENCE_2_22_222,1.0
233,PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR_1,1.0
234,COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS,0.4
235,BREAK_NUMBER_THREE_PARTS,0.0
236,MAXIMUM_POSSIBLE_DIFFERENCE_TWO_SUBSETS_ARRAY,0.3
237,POSITION_OF_RIGHTMOST_SET_BIT_1,1.0
238,MINIMUM_INSERTIONS_SORT_ARRAY,1.0
239,MINIMUM_NUMBER_SUBSETS_DISTINCT_ELEMENTS,0.1
240,REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE_1,1.0
241,COUNT_TOTAL_SET_BITS_IN_ALL_NUMBERS_FROM_1_TO_N,0.0
242,CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,1.0
243,MAXIMUM_NUMBER_CHARACTERS_TWO_CHARACTER_STRING,1.0
244,SQUARES_OF_MATRIX_DIAGONAL_ELEMENTS,1.0
245,COMPUTE_AVERAGE_TWO_NUMBERS_WITHOUT_OVERFLOW,0.3
246,MINIMIZE_THE_MAXIMUM_DIFFERENCE_BETWEEN_THE_HEIGHTS,1.0
247,NEXT_POWER_OF_2_2,1.0
248,FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_1,1.0
249,NUMBER_RECTANGLES_NM_GRID,1.0
250,SQUARE_PYRAMIDAL_NUMBER_SUM_SQUARES,0.9
251,FIND_REPETITIVE_ELEMENT_1_N_1_2,1.0
252,FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS_1,1.0
253,K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY,0.6
254,NON_REPEATING_ELEMENT,0.0
255,PROGRAM_TO_FIND_THE_VOLUME_OF_A_TRIANGULAR_PRISM,1.0
256,PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,1.0
257,CHECK_GIVEN_CIRCLE_LIES_COMPLETELY_INSIDE_RING_FORMED_TWO_CONCENTRIC_CIRCLES,1.0
258,ADD_1_TO_A_GIVEN_NUMBER_1,1.0
259,FIND_POSITION_GIVEN_NUMBER_AMONG_NUMBERS_MADE_4_7,0.0
260,SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS_1,0.1
261,MIDDLE_OF_THREE_USING_MINIMUM_COMPARISONS_2,0.4
262,FIND_DIFFERENCE_BETWEEN_SUMS_OF_TWO_DIAGONALS,1.0
263,CONVERT_STRICTLY_INCREASING_ARRAY_MINIMUM_CHANGES,1.0
264,MAXIMIZE_SUM_ARRII,1.0
265,COUNT_NUMBER_OF_OCCURRENCES_OR_FREQUENCY_IN_A_SORTED_ARRAY,1.0
266,LENGTH_LONGEST_SUB_STRING_CAN_MAKE_REMOVED,1.0
267,FIND_PAIR_WITH_GREATEST_PRODUCT_IN_ARRAY,1.0
268,PROGRAM_AREA_SQUARE,1.0
269,FINDING_POWER_PRIME_NUMBER_P_N_1,1.0
270,PROGRAM_FIND_SMALLEST_DIFFERENCE_ANGLES_TWO_PARTS_GIVEN_CIRCLE,1.0
0,PROGRAM_BINARY_DECIMAL_CONVERSION_1,1.0
1,FIND_TRIPLETS_ARRAY_WHOSE_SUM_EQUAL_ZERO_2,1.0
2,PROGRAM_CALCULATE_VOLUME_OCTAHEDRON,0.0
3,CEILING_IN_A_SORTED_ARRAY,0.9
4,COUNT_ENTRIES_EQUAL_TO_X_IN_A_SPECIAL_MATRIX,1.0
5,FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_2,1.0
6,SQUARED_TRIANGULAR_NUMBER_SUM_CUBES,1.0
7,CALCULATE_ANGLE_HOUR_HAND_MINUTE_HAND,0.0
8,EVEN_FIBONACCI_NUMBERS_SUM,1.0
9,AREA_OF_THE_CIRCLE_THAT_HAS_A_SQUARE_AND_A_CIRCLE_INSCRIBED_IN_IT,1.0
10,DYNAMIC_PROGRAMMING_SET_36_CUT_A_ROPE_TO_MAXIMIZE_PRODUCT_1,1.0
11,COUNT_NUMBER_OF_WAYS_TO_COVER_A_DISTANCE_1,1.0
12,CHANGE_BITS_CAN_MADE_ONE_FLIP,1.0
13,PRIMALITY_TEST_SET_5USING_LUCAS_LEHMER_SERIES,1.0
14,FUNCTION_COPY_STRING_ITERATIVE_RECURSIVE_1,0.0
15,SMALLEST_POWER_OF_2_GREATER_THAN_OR_EQUAL_TO_N,1.0
16,DYCK_PATH,0.0
17,CEILING_IN_A_SORTED_ARRAY_1,1.0
18,CHECK_WHETHER_TWO_STRINGS_ARE_ANAGRAM_OF_EACH_OTHER,1.0
19,MAXIMIZE_SUM_CONSECUTIVE_DIFFERENCES_CIRCULAR_ARRAY,1.0
20,GOOGLE_CASE_GIVEN_SENTENCE,0.0
21,SUM_PAIRWISE_PRODUCTS,1.0
22,HEIGHT_COMPLETE_BINARY_TREE_HEAP_N_NODES,1.0
23,SUM_BINOMIAL_COEFFICIENTS_1,0.0
24,COUNT_NUMBER_OF_WAYS_TO_FILL_A_N_X_4_GRID_USING_1_X_4_TILES,1.0
25,SUBSET_SUM_DIVISIBLE_M,1.0
26,MINIMUM_DIFFERENCE_MAX_MIN_K_SIZE_SUBSETS,0.9
27,MAKING_ELEMENTS_OF_TWO_ARRAYS_SAME_WITH_MINIMUM_INCREMENTDECREMENT,1.0
28,PROGRAM_CALCULATE_VOLUME_ELLIPSOID,1.0
29,C_PROGRAM_FACTORIAL_NUMBER_1,1.0
30,COUNT_SUBSTRINGS_WITH_SAME_FIRST_AND_LAST_CHARACTERS,1.0
31,SQUARE_ROOT_OF_AN_INTEGER,0.2
32,FIND_PERIMETER_CYLINDER,1.0
33,REARRANGE_ARRAY_MAXIMUM_MINIMUM_FORM_SET_2_O1_EXTRA_SPACE,1.0
34,MAXIMUM_PRODUCT_OF_4_ADJACENT_ELEMENTS_IN_MATRIX,1.0
35,PROGRAM_CIRCUMFERENCE_PARALLELOGRAM,1.0
36,MINIMUM_SUM_SQUARES_CHARACTERS_COUNTS_GIVEN_STRING_REMOVING_K_CHARACTERS,1.0
37,FIRST_UPPERCASE_LETTER_IN_A_STRING_ITERATIVE_AND_RECURSIVE,0.0
38,COUNT_SET_BITS_IN_AN_INTEGER_2,1.0
39,SUM_PAIRWISE_PRODUCTS_2,1.0
40,MAXIMUM_PRODUCT_SUBSET_ARRAY,1.0
41,SORT_ARRAY_TWO_HALVES_SORTED,0.5
42,PYTHAGOREAN_QUADRUPLE,1.0
43,FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES,1.0
44,FIND_INDEX_OF_AN_EXTRA_ELEMENT_PRESENT_IN_ONE_SORTED_ARRAY,1.0
45,HOW_CAN_WE_SUM_THE_DIGITS_OF_A_GIVEN_NUMBER_IN_SINGLE_STATEMENT_2,0.1
46,SMALLEST_SUM_CONTIGUOUS_SUBARRAY,1.0
47,CAESAR_CIPHER,0.0
48,FIND_FREQUENCY_EVEN_ODD_NUMBERS_MATRIX,1.0
49,PROGRAM_WORST_FIT_ALGORITHM_MEMORY_MANAGEMENT,1.0
50,CHECK_IF_X_CAN_GIVE_CHANGE_TO_EVERY_PERSON_IN_THE_QUEUE,1.0
51,N_TH_TERM_SERIES_2_12_36_80_150,1.0
52,HOW_TO_CHECK_IF_A_GIVEN_ARRAY_REPRESENTS_A_BINARY_HEAP_1,1.0
53,MINIMUM_TIME_TO_FINISH_TASKS_WITHOUT_SKIPPING_TWO_CONSECUTIVE,1.0
54,NUMBER_OF_TRIANGLES_IN_A_PLANE_IF_NO_MORE_THAN_TWO_POINTS_ARE_COLLINEAR,1.0
